Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
3492000,1.2699763,0.3090216,473.8,0.117940456,0.021853348,0.00029790835,0.19930279,0.0009930976,1.1524450048804282,1.1524450048804282,1.0
3504000,1.270607,0.27704757,469.72727272727275,0.1098393,0.018663013,0.00029790105,0.19930033,0.0009930735,1.407409101047299,1.407409101047299,1.0
3516000,1.2714202,0.212807,433.94444444444446,0.11004678,0.013844694,0.00029789383,0.19929795,0.0009930497,0.6225095299028215,0.6225095299028215,1.0
3528000,1.2708621,0.3205448,502.97222222222223,0.105875604,0.014592508,0.00029788684,0.19929563,0.0009930267,1.8288454702406218,1.8288454702406218,1.0
3540000,1.2702117,0.3543834,497.22727272727275,0.09812641,0.01634422,0.0002978795,0.19929317,0.0009930023,1.7761608857823454,1.7761608857823454,1.0
3552000,1.2699509,0.36687464,490.6521739130435,0.07635126,0.009285033,0.00029787238,0.19929077,0.0009929788,1.7504250001162291,1.7504250001162291,1.0
3564000,1.2695959,0.33682013,490.36842105263156,0.08770381,0.016590104,0.0002978652,0.19928841,0.0009929553,1.6034217437972194,1.6034217437972194,1.0
3576000,1.2707326,0.35557517,487.9310344827586,0.11798132,0.018317813,0.00029785765,0.19928588,0.0009929303,1.66561785446746,1.66561785446746,1.0
3588000,1.2710246,0.3811279,509.9655172413793,0.09226786,0.020210223,0.00029785038,0.19928345,0.0009929062,1.8108344954149476,1.8108344954149476,1.0
3600000,1.2708279,0.32037362,483.57142857142856,0.09090611,0.013133937,0.00029784336,0.19928111,0.0009928831,1.3517800126224757,1.3517800126224757,1.0
3612000,1.2712439,0.34048468,466.5217391304348,0.120219074,0.011697771,0.00029783623,0.19927874,0.0009928595,1.257778261018836,1.257778261018836,1.0
3624000,1.2707136,0.28597468,450.4,0.16835393,0.023281142,0.0002978292,0.19927639,0.0009928363,1.2276545471765778,1.2276545471765778,1.0
3636000,1.2709246,0.3549625,453.2,0.14273185,0.018149925,0.0002978222,0.19927406,0.0009928133,1.1257344790059944,1.1257344790059944,1.0
